Title,Year
Close,2019
The Final Wish,2019
The Kid Who Would Be King,2019
Serenity,2019
Miss Bala,2019
Velvet Buzzsaw,2019
The Lego Movie 2: The Second Part,2019
What Men Want,2019
Cold Pursuit,2019
High Flying Bird,2019
The Prodigy,2019
Isn't It Romantic,2019
Happy Death Day 2U,2019
Alita: Battle Angel,2019
How to Train Your Dragon: The Hidden World,2019
Fighting with My Family,2019
Tyler Perry's A Madea Family Funeral,2019
Greta,2019
Triple Frontier,2019
Captain Marvel,2019
The Kid,2019
Wonder Park,2019
Captive State,2019
Nancy Drew and the Hidden Staircase,2019
The Aftermath,2019
Five Feet Apart,2019
The Highwaymen,2019
Red 11,2019
Never Grow Old,2019
Triple Threat,2019
Us,2019
Hotel Mumbai,2019
The Dirt,2019
Dumbo,2019
The Beach Bum,2019
Unplanned,2019
Title,2019
Shazam!,2019
Pet Sematary,2019
The Best of Enemies,2019
High Life,2019
The Haunting of Sharon Tate,2019
Storm Boy,2019
The Wind,2019
The Silence,2019
Hellboy,2019
Little,2019
Missing Link,2019
After,2019
Her Smell,2019
Breakthrough,2019
Penguins,2019
The Curse of La Llorona,2019
Under the Silver Lake,2019
Family,2019
Fast Color,2019
I Spit on Your Grave: Deja Vu,2019
Avengers: Endgame,2019
I Trapped the Devil,2019
Body at Brighton Rock,2019
Buffaloed,2019
Long Shot,2019
The Intruder,2019
UglyDolls,2019
"Extremely Wicked, Shockingly Evil and Vile",2019
Pokémon Detective Pikachu,2019
The Hustle,2019
Tolkien,2019
Poms,2019
The Professor and the Madman,2019
John Wick: Chapter 3 – Parabellum,2019
A Dog's Journey,2019
The Sun Is Also a Star,2019
The Professor,2019
The Souvenir,2019
The Tomorrow Man,2019
Aladdin,2019
Brightburn,2019
Booksmart,2019
The Perfection,2019
Always Be My Maybe,2019
Godzilla: King of the Monsters,2019
Rocketman,2019
Ma,2019
Dark Phoenix,2019
The Secret Life of Pets 2,2019
Late Night,2019
The Last Black Man in San Francisco,2019
Changeland,2019
Men in Black: International,2019
Shaft,2019
The Dead Don't Die,2019
Murder Mystery,2019
Plus One,2019
Being Frank,2019
Toy Story 4,2019
Child's Play,2019
Annabelle Comes Home,2019
Yesterday,2019
Ophelia,2019
Killers Anonymous,2019
Title,2019
Spider-Man: Far From Home,2019
Escape Plan: The Extractors,2019
Midsommar,2019
Stuber,2019
Crawl,2019
Point Blank,2019
The Farewell,2019
Darlin',2019
The Lion King,2019
Once Upon a Time in Hollywood,2019
Skin,2019
The Red Sea Diving Resort,2019
Fast & Furious Presents: Hobbs & Shaw,2019
A Score to Settle,2019
The Operative,2019
Dora and the Lost City of Gold,2019
The Kitchen,2019
The Art of Racing in the Rain,2019
Scary Stories to Tell in the Dark,2019
The Peanut Butter Falcon,2019
After the Wedding,2019
Light of My Life,2019
The Angry Birds Movie 2,2019
Blinded by the Light,2019
Good Boys,2019
"Where'd You Go, Bernadette",2019
47 Meters Down: Uncaged,2019
Gwen,2019
Ready or Not,2019
Angel Has Fallen,2019
Brittany Runs a Marathon,2019
Overcomer,2019
Jacob's Ladder,2019
Burn,2019
Official Secrets,2019
Don't Let Go,2019
Itsy Bitsy,2019
The Fanatic,2019
It Chapter Two,2019
Satanic Panic,2019
The Obituary of Tunde Johnson,2019
Downton Abbey,2019
The Goldfinch,2019
Hustlers,2019
The Sound of Silence,2019
Monos,2019
Tall Girl,2019
Ad Astra,2019
Rambo: Last Blood,2019
Bloodline,2019
Running with the Devil,2019
Abominable,2019
The Laundromat,2019
Judy,2019
Title,2019
Joker,2019
Lucy in the Sky,2019
Low Tide,2019
Wrinkles the Clown,2019
Little Monsters,2019
Gemini Man,2019
The Addams Family,2019
The King,2019
Maleficent: Mistress of Evil,2019
Zombieland: Double Tap,2019
Jojo Rabbit,2019
The Lighthouse,2019
Wounds,2019
Black and Blue,2019
The Last Full Measure,2019
The Current War,2019
The Gallows Act II,2019
Terminator: Dark Fate,2019
Motherless Brooklyn,2019
The Irishman,2019
Harriet,2019
Waves,2019
Marriage Story,2019
Doctor Sleep,2019
Playing with Fire,2019
Last Christmas,2019
Midway,2019
Arctic Dogs,2019
Honey Boy,2019
Charlie's Angels,2019
Ford v Ferrari,2019
The Good Liar,2019
The Report,2019
The Lodge,2019
Frozen 2,2019
A Beautiful Day in the Neighborhood,2019
21 Bridges,2019
Dark Waters,2019
Knives Out,2019
Queen & Slim,2019
The Two Popes,2019
Playmobil: The Movie,2019
The Aeronauts,2019
Brahms: The Boy II,2019
A Million Little Pieces,2019
Daniel Isn't Real,2019
Jumanji: The Next Level,2019
Black Christmas,2019
A Hidden Life,2019
Uncut Gems,2019
Star Wars: The Rise of Skywalker,2019
Cats,2019
Bombshell,2019
Super Intelligence,2019
Spies in Disguise,2019
Little Women,2019
1917,2019
Just Mercy,2019
Clemency,2019
